	sentence	pair	agent_index	verb_index
3455	Ведь тем самым они попытались вселить в каждого человека надежду что ему на этой земле обязательно соответствует родная душа тот самый единственный и любимый человек который предназначен ему и больше никому	они попытались	3	4
3456	Объясню почему во-первых большинство наших соотечественников православные а сам праздник имеет католические корни	праздник имеет	9	10
3457	Я влюбился в девочку из старшей группы	Я влюбился	0	1
3458	А так как в детстве я был мальчиком решительным то сразу подошёл к ней и предложил переехать к нам домой	я был	5	6
3459	Единственное что я ей сказал чтобы она захватила с собой подушку потому что у нас в доме подушек мало	она захватила	6	7
3460	Это длилось долго до пятого класса хотя мы с ней учились в разных школах	Это длилось	0	1
3461	Дело в том что со всеми своими тремя супругами в хронологическом порядке я познакомился в одном и том же месте	я познакомился	12	13
3462	Впервые она запела в 8 месяцев а в 10 лет уже солировала в известном детском ансамбле Мзиури	она запела	1	2
3463	С тех пор Тамара Гвердцители плывёт по волнам мелодий и в каждом звуке слышит гармонию	Гвердцители плывёт	4	5
3464	И поэтому возникает такое чувство что ваш голос звучит со сцены уже много много лет	голос звучит	7	8
3465	Моя мама помнит те моменты когда я ещё совсем малышка совершенно серьёзно пела баллады о любви толком не понимая слова	мама помнит	1	2
3466	Но как рассказывает мама исполняла я их с большим чувством	мама исполняла	3	4
3467	Теперь я стала старше а зрелая женщина кардинально отличается от барышни	я стала	1	2
3468	Теперь я стала более эмоционально исполнять свои песни созрела даже для исполнения баллад	я стала	1	2
3469	Тогда я говорю своим музыкантам Ответите за каждую ноту	я говорю	1	2
3470	Перед выборами политики не прочь приникнуть к живительным капиталам пивоваров Интрига вокруг пивной рекламы отнюдь не исчерпывается тем что водочные короли увидели в успехах пивоваров угрозу собственному благосостоянию	короли увидели	20	21
3471	Обострение конкуренции на ниве питейного бизнеса лишь наиболее очевидная но не единственная причина по которой молодая динамичная и агрессивная пивная отрасль подверглась массированной атаке	отрасль подверглась	20	21
3472	То же что у пивных компаний деньги водятся видно по объёмам рекламы	деньги водятся	6	7
3473	Пивоварам доступно и практически неприкрыто напоминают что Бог велел делиться	Бог велел	7	8
3474	Однако возможность понять схему вовлечения пивных капиталов в политику всё-таки есть	возможность понять	1	2
3475	Охота на курочку Рябу В 1887 году австрийский подданный Эмиль Слатинский основал на берегу реки Тверцы паровую пивоварню Тверская Бавария	Слатинский основал	10	11
3476	И тем не менее акционеры умудрились переоснастить мощности установив немецкое и чешское оборудование на миллионы долларов отладить производство сопутствующих компонентов выстроить коммерческие связи	акционеры умудрились	4	5
3477	Почвопокровные розы составляют сравнительно молодую садовую группу её выделили около 20 лет назад	розы составляют	1	2
3478	За короткое время почвопокровные розы заняли прочные позиции среди многообразия групп роз	розы заняли	4	5
3479	Первоначально почвопокровные розы нашли своё применение в укрытии больших площадей заброшенных или неудобных для обработки берегов водоёмов и крутых склонов	розы нашли	2	3
3480	К выбору сорта почвопокровной розы нужно подходить осмотрительно т к высокие сорта подходят только для больших садов и в наших условиях могут создать проблемы при зимнем укрытии	сорта подходят	11	12
3481	Этот сорт является мутантом старейшего почвопокровного сорта The Fairy	сорт является	1	2
3482	Кусты разрастаются в ширину на 70 см побеги прочные не ложатся на землю	Кусты разрастаются	0	1
3483	Этот сорт является потомком знаменитого Yesterday и оправдывает своё название Красное одеяло	сорт является	1	2
3484	Куст равномерно разрастается в ширину до 1 0 1 2 м и достигает высоты 0 6 0 8 м Роза зацветает одной из первых и продолжает цветение в течение всего сезона	Роза зацветает	19	20
3485	14 ЯНВАРЯ генеральный совет Единой России ЕР принял решение о создании рабочей группы по подготовке съезда партии	ЕР принял	6	7
3486	Но г-н Беспалов пошёл дальше стал определять политику партии и подмял под себя её финансы	Беспалов пошёл	2	3
3487	Его заместитель по исполкому г-жа Крижанская пошла ва-банк	Крижанская пошла	5	6
3488	Говорят она убедила всех сотрудников исполкома написать заявление об уходе если их начальника попросят	она убедила	1	2
3489	В чём же была сила г-на Беспалова Говорят он имел доступ к президенту Иногда приносил аналитические записки по работе Б Грызлова В Суркова	он имел	8	9
3490	Так что заместитель главы кремлёвской администрации В Сурков переиграл г-на Беспалова	Сурков переиграл	7	8
3491	Эта научная монография изданная тиражом в 500 экземпляров и являющаяся единственным на данный момент описанием истории труда военнопленных в СССР поражает масштабом проделанной автором работы	монография изданная	2	3
3492	Книга представляет собой тщательное изложение сухих фактов опирающееся на содержание сотен архивных документов большая часть которых впервые вводится в научный оборот	Книга представляет	0	1
3493	События описываются практически без комментариев если не считать что рассказ о каждом периоде начинается с краткого описания ситуации в стране с точки зрения политики властей по отношению к труду и трудящимся	События описываются	0	1
3494	Таблицы структурированы по годам и отражают всю задокументированную историю труда военнопленных и их содержание практически определяет содержание книги поэтому перечислю часть отражённых в них тем	Таблицы структурированы	0	1
3495	Через две недели после того как 1 сентября 1939 года Германия напала на Польшу развязав тем самым Вторую мировую войну части Красной армии перешли границу и заняли территорию Западных Украины и Белоруссии захватив в плен более 450 тысяч человек 1	Германия напала	10	11
3496	Пленные использовались главным образом на добыче угля руды торфа и на лесоразработках	Пленные использовались	0	1
3497	Труд был малоэффективен заболеваемость и смертность очень высоки	Труд был	0	1
3498	С этого момента Советский Союз стал легально использовать массовый труд военнопленных для восстановления народного хозяйства	Союз стал	4	5
3499	Зачем мы идём во власть если не можем остановить ход разрушительных реформ	мы идём	1	2
3500	Всякая борьба лишь тогда оправдана когда она приближает к достижению главной цели	она приближает	6	7
3501	На наш взгляд критерий целесообразности вхождения во власть может быть только один насколько это приближает нас к главной цели смене режима	это приближает	13	14
3502	Мы коммунисты возглавляем исполнительную и законодательную власть в Рязанской области с 1997 года	коммунисты возглавляем	1	2
3503	Региональные бюджеты остаются практически в полной зависимости от федеральных органов власти	бюджеты остаются	1	2
3504	Они превращаются в своего рода отстойники куда скидываются все полномочия невыгодные для правительства	Они превращаются	0	1
3505	Я думаю в этом случае к нам подтянутся губернаторы и других некрасных регионов	Я думаю	0	1
3506	Просматриваются всё более тревожные попытки выстроить достаточно жёсткую финансово-зависимую авторитарную вертикаль власти назначаемую единым лицом президентом России который сам находится в зависимости от узкой группы самых богатых людей страны	попытки выстроить	4	5
3507	Это подтверждается попыткой быстро принять и сразу по всей России ввести в действие Федеральный закон Об общих принципах организации местного самоуправления	Это подтверждается	0	1
3508	Здесь в конечном счёте замыкаются нервные цепочки организма собирается информация от всех тканей и органов здесь она анализируется и отсюда поступают сигналы к действию	она анализируется	16	17
3509	Периферическая нервная система состоит из соматической и вегетативной частей	система состоит	2	3
3510	И если с центральной нервной системой всё более-менее понятно то понимание процессов происодящих в другой её части требует некоторой умозрительности и способности к абстрактному мышлению хотя на самом деле речь идёт о вполне реальных анатомических структурах отвечающих за работу вполне конкретных органов и тканей человеческого организма	речь идёт	29	30
3511	По месту отхождения от ЦНС они делятся на черепные и спинномозговые	они делятся	5	6
3512	Так например первые 2 обонятельные и зрительные нервы являются выростами головного мозга чем сильно отличаются от прочих нервов	нервы являются	7	8
3513	Специфика остальных 10 пар в том что каждый нерв имеет в своём составе либо чувствительные либо двигательные волокна	нерв имеет	8	9
3514	Все спинномозговые нервы а их кстати говоря 31 пара соединены со спинным мозгом двумя корешками передним двигательным и задним чувствительным	пара соединены	8	9
3515	Корешки сливаются воедино и из позвоночного канала выходит уже общий нервный ствол	Корешки сливаются	0	1
3516	О сказках былого и сути иного Пусть он информирует вас Самые долгожданные и красивые праздники Новый год и Рождество	он информирует	7	8
3517	В каждой квартире в витринах всех магазинов на площадях и в театральных залах стоят удивительные лесные красавицы ёлки украшенные всевозможными порой самыми невероятными и чудесными игрушками яркими гирляндами и сверкающими лампочками	ёлки украшенные	17	18
3518	Но почему именно это дерево стало символом Нового года и Рождества	дерево стало	4	5
3519	Оказывается всё началось в Германии много много лет тому назад	всё началось	1	2
3520	Древние германцы считали ель деревом верховного бога Водана и по традиции в период зимнего солнцестояния подвешивали ветви ели к потолку в своих домах чтобы отогнать ведьм и злых духов	германцы считали	1	2
3521	Постепенно еловые ветви стали заменяться целым деревом которое однако не ставили на пол как сейчас а всё так же подвешивали к потолку причём за корень	ветви стали	2	3
3522	Такое положение дерева с одной стороны символизировало солнце которое посылает свои лучи и силу Земле а с другой подвешенное за корень дерево означало что земное является отражением небесного и что высокое может опуститься а низкое подняться	дерево означало	21	22
3523	С зимним солнцестоянием и празднованием возрождения солнца связаны ещё омела и остролист которые подобно ели остаются зелёными тогда когда другие растения умирают	растения умирают	20	21
3524	С принятием христианства языческая символика и обряды были запрещены но не искоренены полностью	обряды были	6	7
3525	А в XVI в когда в Западной Европе и особенно в Германии от католичества в ходе Реформации отделилось протестантство большая часть традиционной символики стала заменяться новой ель приобрела новую роль роль Рождественского дерева	ель приобрела	26	27
3526	В 40-е годы XIX века Маркс защитил диссертацию	Маркс защитил	5	6
3527	Узнав что от редакторов ежедневной прессы требуются не только благонамеренность но и научные способности свежеиспечённый доктор философии и будущий основоположник пришёл в ярость	основоположник пришёл	19	20
3528	Разве можно говорил он судить о чужих научных способностях если сам таковыми не обладаешь	он судить	3	4
3529	Если цензоры судят о писателях учёной публике взявшейся за перо значит способности цензоров выше	цензоры судят	1	2
3530	Писатели знают каждый своё а цензор всё за всех	Писатели знают	0	1
3531	Чем выше мы поднимаемся по бюрократической лестнице тем совершеннее умы чиновников	мы поднимаемся	2	3
3532	Если нам захочется извлечь квадратный корень исследовать химический состав разобраться с биологическими видами то вряд ли себе на помощь мы призовём чиновника	мы призовём	19	20
3533	Здесь нужен знаток а самый лучший знаток это человек науки представляющей корпус совершенных знаний о предмете даже если сам предмет находится в ведении чиновника	предмет находится	19	20
3534	Значит учёный может быть полезен и даже необходим чиновнику или политику своими познаниями	учёный может	1	2
3535	Спектакль называется Татарин маленький пьеса Алексея Пояркова постановка Владимира Петрова премьера Театра имени Пушкина	Спектакль называется	0	1
3536	Более странное зрелище трудно представить в первом действии начинается один сюжет во втором возникает другой для того чтобы из них выпутаться автор хватается за испытанное многими современными драматургами средство в ход идёт Антон Павлович Чехов	автор хватается	21	22
3537	Мошенникам нужно средство передвижения и поначалу они просят у Коляя Коляича лошадь	они просят	6	7
3538	Но у автора есть волшебное средство плохие становятся хорошими мошенник и мошенница поднимают имение Коляя Коляича и ждут не дождутся хозяина дома а тот оказывается страшным монстром который к тому же всё отлично помнит	мошенница поднимают	11	12
3539	Автор уверяет что его произведение суть ироническая рефлексия на темы русской литературы	Автор уверяет	0	1
3540	А режиссёр Владимир Петров хотел поставить весёлый и трогательный спектакль	Петров хотел	3	4
3541	Возможно уже во время весенней сессии президент внесёт в Государственную думу проект закона о гражданской государственной службе который должен существенно изменить сегодняшний быт чиновника	президент внесёт	6	7
3542	В течение месяца законопроект может быть рассмотрен комиссией по реформе государственной службы возглавляемой премьером Касьяновым затем отшлифован и внесён в Думу	законопроект может	3	4
3543	В интервью Еженедельному Журналу Дмитрий Медведев комментирует разрабатываемый законопроект и нынешний этап реформы госслужбы в целом	Медведев комментирует	5	6
3544	Дмитрий Анатольевич что вы считаете в законопроекте главным с точки зрения стимулирования работы чиновника	вы считаете	3	4
3545	Тем не менее какие-то критерии могут быть сформулированы	критерии могут	4	5
3546	Это и естественная конкуренция между ведомствами и опасения что новации могут привести к диспропорциям в оценке труда	новации могут	9	10
3547	Например существует мнение что распределение денежных средств без привязки к схеме должностных окладов на основе той оценки которую руководитель ведомства даёт своим подчинённым может привести к тому что сотрудники будут получать принципиально разную зарплату	сотрудники будут	28	29
3548	Наоборот она может основываться на личных предпочтениях	она может	1	2
3549	В статье Немцов призывает не растрачивать впустую недолгий период высоких цен на нефть	Немцов призывает	2	3
3550	И очевидное отличие современной российской политической реальности от укоренившейся на Западе состоит в том что доверие оказанное партиям избирателями конвертируется в их партий политическое влияние в принципиально разных пропорциях	доверие оказанное	15	16
3551	Голос отданный за реформаторов котируется на рынке политических решений выше остальных и является дорогой валютой	Голос отданный	0	1
3552	Это справедливо за партию реформ голосуют чтобы менять порядок то есть так или иначе действовать	то есть	9	10
3553	Голоса отданные за СПС на минувших выборах стоят дорого	Голоса отданные	0	1
3554	Если же отвлечься от предвыборных нападок со стороны конкурентов и политических статистов партии глобальных постсоветских реформ предъявляется одна заслуживающая внимания претензия мол её идеологическая повестка устарела	повестка устарела	24	25
3555	В стране растёт неголосующий обыватель такой стихийный рыночник озабоченный прежде всего собственным благополучием а не правами человека в широком смысле	рыночник озабоченный	7	8
3556	Сегодня и это прозвучало на конференции перестройка государственного хозяйства конечно крайне важное дело но она уже не является первостепенной заботой либеральных политических сил	это прозвучало	2	3
3557	Аббревиатура расшифровывается как Global Positioning System в переводе на русский всемирная система позиционирования	Аббревиатура расшифровывается	0	1
3558	Попробуйте ка найти сегодня того кто сможет вычислить координаты с помощью часов и секстанта куда легче подыскать веб-дизайнера	кто сможет	5	6
3559	По соображениям безопасности американские военные вначале установили режим селективного доступа к данным со спутников и гражданские приёмники не оборудованные специальными декодерами сигнала показывали местоположение объекта с точностью 50 100 м С 1 мая 2000 года селективный доступ отменён и отныне точность определения координат с помощью компактных GPS-приемников составляет в среднем 5 8 м и гарантированно менее 15 м	доступ отменён	36	37
3560	Более продвинутые модели демонстрируют на экране не только точки но и весьма подробные карты местности умеют самостоятельно прокладывать маршрут по дорогам вычислять расстояния время прибытия потребное количество топлива и даже посоветуют в какой гостинице остановиться какие достопримечательности посмотреть	модели демонстрируют	2	3
3561	Обычную точность определения координат можно повысить до 1 1 5 м с помощью дополнительной антенны что удовлетворит даже самых взыскательных пользователей	что удовлетворит	15	16
3562	Минимум для системы умеющей самостоятельно прокладывать маршрут составит около 500 долларов максимум достигает 5000	максимум достигает	11	12
3563	Самый скромный вариант простейший GPS-приемник типа Garmin E Trex или просто выносной блок закрепляемый на крыше автомобиля соединённый кабелем с портативным компьютером под управлением Palm OS или Windows С Е Достоинство простой системы универсальность	блок закрепляемый	12	13
3564	Чем отличаются специализированные навигаторы установленные в салонах зарубежных автомобилей от универсальных приборов типа Garmin Streetpilot III	навигаторы установленные	3	4
3565	Благодаря использованию современных носителей например DVD-дисков вмещающих до 17 ГБ карт и справочной информации автомобиль поставляется с полным набором карт и справочных данных по всей Европе или Северной Америке	автомобиль поставляется	14	15
3566	В такие моменты он вычисляет изменение координат пользуясь сигналами с колёсных датчиков	он вычисляет	3	4
3567	Неужели и вправду всё повторяется так буквально	всё повторяется	3	4
3568	Благодаря топорной пропаганде люди точно знали что правду они могут услышать только по голосам	они могут	8	9
3569	Между прочим книгу я нашёл весьма грамотной а не понравился мне авторский подход к подаче материала своё правильное понимание экономических идей он тщательно маскировал	я нашёл	3	4
3570	А уже после выхода статьи узнал что раскритиковал не кого-нибудь а заместителя заведующего отделом пропаганды ЦК КПСС то есть человека который по понятиям советской журналистики был не просто персоной вне критики а полубогом	то есть	17	18
3571	Я расстроился что подвёл журнал и лично его главного редактора Александра Трифоновича Твардовского	Я расстроился	0	1
3572	Ведь никто тогда не был способен поверить что журнал раскритиковав сочинения человека из ЦК не планировал это как умышленный выпад в адрес партноменклатуры	журнал раскритиковав	8	9
3573	Но очень скоро попав в командировку в Томск я убедился что всё не так просто	я убедился	8	9
3574	Лигачев желая подчеркнуть своё благородство рассказал мне что ему сразу из трех разных секторов отдела пропаганды принесли гранки с моей статьёй полученные из Главлита	Лигачев желая	0	1
3575	В Красноярске бытует мнение что мы находимся далеко от столицы и кавказского региона и у нас никаких террористических актов произойти не может	мы находимся	5	6
3576	Это не так и я могу привести конкретный пример	я могу	4	5
3577	Причём характер и размах этих действий а также направленность на нанесение серьёзнейшего экономического ущерба не только для края но и для страны в целом указывает на то что это был классический террористический акт	это был	28	29
3578	И произошёл он в Норильске который удалён от центра еще больше чем Красноярск заявил Анатолий Ковригин	Красноярск заявил	12	13
3579	По его словам в регионе насчитывается более двухсот объектов представляющих потенциальную опасность и они находятся под пристальным наблюдением специальных служб	они находятся	13	14
3580	Химические и атомные заводы Урала угольные шахты и пороховые цеха Сибири гигантские плотины эти стратегические узлы представляют интерес для экстремистов и врагов стабильности в стране	узлы представляют	15	16
3581	Губернатор Хлопонин закручивает гайки в Красноярском крае	Хлопонин закручивает	1	2
3582	Беда ещё и в том что слова подтверждаются фактами	слова подтверждаются	6	7
3583	А когда они предприятия заработают лучше по словам Хлопонина тогда и следует перечислять дополнительные налоги на социалку	предприятия заработают	3	4
3584	Губернатор напугал не только и без того обездоленных врачей педагогов и пенсионеров Красноярского края	Губернатор напугал	0	1
3585	Он даже назвал некий срок 15 августа 2003 года после которого по словам Александра Геннадиевича мы будем говорить с олигархами по-другому	мы будем	15	16
3586	Интересно что особого шума аналитики или наблюдатели не устроили тут хорошо помнят как в первые дни после инаугурации Александр Хлопонин напустился на оппозиционную прессу и законодательное собрание которые противостояли ему во время губернаторских выборов	Хлопонин напустился	19	20
3587	Создаётся впечатление что своими неоправданно резкими действиями Александр Хлопонин взращивает уже не литературную фронду в СМИ но весьма серьёзную оппозицию в лице красноярского чиновничества	Хлопонин взращивает	8	9
3588	Представители раскритикованной социальной сферы Красноярского края испуганно притихли и от возражений воздерживаются	Представители раскритикованной	0	1
3589	Современная российская политическая система создана средствами массовой информации	система создана	3	4
3590	За 10 лет существования новой России СМИ сформировали две картины мира которые условно можно назвать демократической и патриотической	СМИ сформировали	6	7
3591	В обеих присутствовали недееспособный непредсказуемый Ельцин коррумпированная семья и власть вообще грабительская прихватизация и обнищание народа	Ельцин коррумпированная	5	6
3592	В патриотической картине присутствовала Великая духовность русского народа ненавистный Запад стремящийся эту Духовность погубить предварительно грязно над ней надругавшись берёзки лики святых былинные богатыри межконтинентальная баллистическая ракета РС 20 и т д Сталин и Жуков насчёт Ленина между различными категориями патриотов согласия не было	Запад стремящийся	9	10
3593	Если человек отождествлял себя с Государством Российским если считал что чеченский вопрос должен быть решен как минимум на первом этапе силовым путём если не заходился от восторга при виде звездно-полосатого значит обязан бить жидов спасать Россию и требовать немедленной национализации всего кроме быть может коммерческих палаток которые впрочем обязаны будут торговать чем-нибудь исконно-посконным и ни в коем случае не сникерсом	человек отождествлял	1	2
3594	Если человек выступал за либеральную экономику свободу слова свободные выборы значит обязан был проявлять солидарность со свободолюбивым чеченским народом одобрять натовскую агрессию против Югославии и вообще каждую западную глупость губительную для самого Запада а к любой российской власти в прошлом настоящем и будущем относиться как к преступной группировке	человек выступал	1	2
3595	Журналист или политик сделавший шаг из одного лагеря не мог остановиться посередине и проскакивал до противоположного так как ни те ни другие инакомыслия не допускали	политик сделавший	2	3
3596	Более того наши СМИ сумели сформировать не только образ незаконной и неполноценной власти первой в отечественной истории всенародно избранной но и самой России	СМИ сумели	3	4
3597	За предварительную консультацию я заплатил 500 руб	я заплатил	3	4
3598	Затем мы вошли в просторную комнату и сели за стол	мы вошли	1	2
3599	Дрожащим голосом я рассказал про свою беду	я рассказал	2	3
3600	Колдунья взяла в руки что-то вроде венчика для взбивания белка и стала греть его над свечой	Колдунья взяла	0	1
3601	Сначала мы займёмся вами тем более что именно вы виноваты в том что вам изменили	мы займёмся	1	2
3602	На белом листе бумаги она начертила мужской контур написала моё имя и дату рождения	она начертила	4	5
3603	Затем меня минут 20 уговаривали прийти снова запугивая возможными неприятностями Я пообещал зайти на следующей неделе Жулики и психи	Я пообещал	10	11
3604	ХУТОРЦЕВ Сергей Владимирович родился 24 марта 1951 года в Петрозаводске	Владимирович родился	2	3
3605	Во второй половине 60 начале 70-х годов в РВСН идёт массовое развёртывание группировки ракетных комплексов с одиночными стартами ОС оснащённых моноблочными ракетами второго поколения	ОС оснащённых	18	19
3606	В результате проведённых преобразований дежурные смены приобрели способность в короткие сроки при получении санкции самостоятельно осуществлять все необходимые операции по подготовке и пуску ракет	смены приобрели	5	6
3607	Это позволило в 1978 году перейти на новый режим несения боевого дежурства с двумя тремя боевыми расчётами в дежурной смене	Это позволило	0	1
3608	В настоящее время РВСН находятся на очень непростом этапе своего развития и строительства	РВСН находятся	3	4
3609	Это обусловливает появление ряда факторов оказывающих существенное влияние на совершенствование системы организации и несения боевого дежурства	Это обусловливает	0	1
3610	При этом учитываются и новые факторы влияющие на значимость боевого дежурства становление фактического статуса боевого дежурства как формы применения РВСН в системе сдерживающих действий Вооружённых Сил РФ в мирное время необходимость постоянной и надёжной защиты ракетно-ядерного оружия в условиях возрастания угрозы диверсионно-террористических акций усиление непрерывного контроля за состоянием ракетного и специального вооружения в условиях его старения при значительном продлении эксплуатационного ресурса	факторы влияющие	5	6
